amplicon_name	raw_count	300x_count
BRCA2_01_01	318	310.0
BRCA2_02_01	228	222.0
BRCA2_02_02	332	324.0
BRCA2_03_01	302	294.0
BRCA2_03_02	477	465.0
BRCA2_04_01	429	418.0
BRCA2_05_01	314	306.0
BRCA2_06_01	318	310.0
BRCA2_07_01	354	345.0
BRCA2_08_01	383	373.0
BRCA2_09_01	225	219.0
BRCA2_09_02	330	322.0
BRCA2_09_03	298	291.0
BRCA2_09_04	254	248.0
BRCA2_09_05	284	277.0
BRCA2_09_06	234	228.0
BRCA2_09_07	294	287.0
BRCA2_09_08	278	271.0
BRCA2_09_09	326	318.0
BRCA2_09_10	355	346.0
BRCA2_10_01	329	321.0
BRCA2_10_02	175	171.0
BRCA2_10_03	285	278.0
BRCA2_10_04	365	356.0
BRCA2_10_05	199	194.0
BRCA2_10_06	310	302.0
BRCA2_10_07	374	365.0
BRCA2_10_08	354	345.0
BRCA2_10_09	269	262.0
BRCA2_10_10	341	332.0
BRCA2_10_11	184	179.0
BRCA2_10_12	306	298.0
BRCA2_10_13	316	308.0
BRCA2_10_14	260	253.0
BRCA2_10_15	470	458.0
BRCA2_10_16	415	405.0
BRCA2_10_17	257	251.0
BRCA2_10_18	254	248.0
BRCA2_10_19	367	358.0
BRCA2_10_20	226	220.0
BRCA2_10_21	207	202.0
BRCA2_10_22	371	362.0
BRCA2_10_23	392	382.0
BRCA2_10_24	339	330.0
BRCA2_10_25	266	259.0
BRCA2_10_26	171	167.0
BRCA2_10_27	397	387.0
BRCA2_10_28	275	268.0
BRCA2_10_29	173	169.0
BRCA2_10_30	376	367.0
BRCA2_10_31	389	379.0
BRCA2_10_32	267	260.0
BRCA2_10_33	252	246.0
BRCA2_10_34	287	280.0
BRCA2_10_35	279	272.0
BRCA2_10_36	335	327.0
BRCA2_10_37	326	318.0
BRCA2_10_38	347	338.0
BRCA2_10_39	288	281.0
BRCA2_11_01	367	358.0
BRCA2_12_01	369	360.0
BRCA2_13_01	292	285.0
BRCA2_13_02	556	542.0
BRCA2_13_03	310	302.0
BRCA2_13_04	260	253.0
BRCA2_14_01	355	346.0
BRCA2_14_02	255	249.0
BRCA2_15_01	201	196.0
BRCA2_15_02	353	344.0
BRCA2_16_01	466	454.0
BRCA2_16_02	253	247.0
BRCA2_17_01	346	337.0
BRCA2_17_02	398	388.0
BRCA2_17_03	419	408.0
BRCA2_18_01	350	341.0
BRCA2_18_02	428	417.0
BRCA2_19_01	305	297.0
BRCA2_19_02	541	527.0
BRCA2_20_01	275	268.0
BRCA2_21_01	214	209.0
BRCA2_21_02	503	490.0
BRCA2_22_01	361	352.0
BRCA2_22_02	293	286.0
BRCA2_23_01	301	293.0
BRCA2_23_02	298	291.0
BRCA2_24_01	483	471.0
BRCA2_24_02	235	229.0
BRCA2_25_01	190	185.0
BRCA2_25_02	302	294.0
BRCA2_26_01	348	339.0
BRCA2_26_02	229	223.0
BRCA2_26_03	328	320.0
BRCA2_26_04	311	303.0
BRCA2_26_05	211	206.0
BRCA1_01_01	408	398.0
BRCA1_02_01	271	264.0
BRCA1_03_01	286	279.0
BRCA1_04_01	381	371.0
BRCA1_05_01	385	375.0
BRCA1_06_01	285	278.0
BRCA1_07_01	294	287.0
BRCA1_08_01	298	291.0
BRCA1_09_01	284	277.0
BRCA1_09_02	349	340.0
BRCA1_09_03	244	238.0
BRCA1_10_01	202	197.0
BRCA1_10_02	300	292.0
BRCA1_11_01	279	272.0
BRCA1_12_01	340	331.0
BRCA1_13_01	320	312.0
BRCA1_13_02	215	210.0
BRCA1_14_01	305	297.0
BRCA1_15_01	394	384.0
BRCA1_15_02	325	317.0
BRCA1_15_03	383	373.0
BRCA1_15_04	279	272.0
BRCA1_15_05	267	260.0
BRCA1_15_06	279	272.0
BRCA1_15_07	161	157.0
BRCA1_15_08	310	302.0
BRCA1_15_09	246	240.0
BRCA1_15_10	347	338.0
BRCA1_15_11	215	210.0
BRCA1_15_12	222	216.0
BRCA1_15_13	204	199.0
BRCA1_15_14	211	206.0
BRCA1_15_15	233	227.0
BRCA1_15_16	178	174.0
BRCA1_15_17	413	403.0
BRCA1_15_18	222	216.0
BRCA1_15_19	330	322.0
BRCA1_15_20	253	247.0
BRCA1_15_21	226	220.0
BRCA1_15_22	287	280.0
BRCA1_15_23	238	232.0
BRCA1_15_24	303	295.0
BRCA1_15_25	200	195.0
BRCA1_15_26	413	403.0
BRCA1_16_01	235	229.0
BRCA1_17_01	332	324.0
BRCA1_18_01	315	307.0
BRCA1_19_01	411	401.0
BRCA1_20_01	308	300.0
BRCA1_21_01	281	274.0
BRCA1_22_01	345	336.0
BRCA1_23_01	283	276.0
