amplicon_name	raw_count	300x_count
BRCA2_01_01	426	393.0
BRCA2_02_01	223	206.0
BRCA2_02_02	345	318.0
BRCA2_03_01	254	234.0
BRCA2_03_02	544	502.0
BRCA2_04_01	443	408.0
BRCA2_05_01	364	336.0
BRCA2_06_01	257	237.0
BRCA2_07_01	372	343.0
BRCA2_08_01	472	435.0
BRCA2_09_01	188	173.0
BRCA2_09_02	323	298.0
BRCA2_09_03	322	297.0
BRCA2_09_04	474	437.0
BRCA2_09_05	281	259.0
BRCA2_09_06	313	289.0
BRCA2_09_07	389	359.0
BRCA2_09_08	291	268.0
BRCA2_09_09	414	382.0
BRCA2_09_10	450	415.0
BRCA2_10_01	229	211.0
BRCA2_10_02	197	182.0
BRCA2_10_03	459	423.0
BRCA2_10_04	421	388.0
BRCA2_10_05	401	370.0
BRCA2_10_06	319	294.0
BRCA2_10_07	245	226.0
BRCA2_10_08	370	341.0
BRCA2_10_09	391	361.0
BRCA2_10_10	507	467.0
BRCA2_10_11	263	242.0
BRCA2_10_12	403	372.0
BRCA2_10_13	175	161.0
BRCA2_10_14	264	243.0
BRCA2_10_15	409	377.0
BRCA2_10_16	509	469.0
BRCA2_10_17	370	341.0
BRCA2_10_18	406	374.0
BRCA2_10_19	328	302.0
BRCA2_10_20	281	259.0
BRCA2_10_21	275	254.0
BRCA2_10_22	553	510.0
BRCA2_10_23	282	260.0
BRCA2_10_24	541	499.0
BRCA2_10_25	210	194.0
BRCA2_10_26	292	269.0
BRCA2_10_27	308	284.0
BRCA2_10_28	453	418.0
BRCA2_10_29	164	151.0
BRCA2_10_30	364	336.0
BRCA2_10_31	357	329.0
BRCA2_10_32	340	313.0
BRCA2_10_33	335	309.0
BRCA2_10_34	297	274.0
BRCA2_10_35	409	377.0
BRCA2_10_36	443	408.0
BRCA2_10_37	243	224.0
BRCA2_10_38	456	420.0
BRCA2_10_39	292	269.0
BRCA2_11_01	354	326.0
BRCA2_12_01	347	320.0
BRCA2_13_01	299	276.0
BRCA2_13_02	527	486.0
BRCA2_13_03	285	263.0
BRCA2_13_04	162	149.0
BRCA2_14_01	440	406.0
BRCA2_14_02	289	266.0
BRCA2_15_01	157	145.0
BRCA2_15_02	260	240.0
BRCA2_16_01	455	420.0
BRCA2_16_02	224	207.0
BRCA2_17_01	311	287.0
BRCA2_17_02	346	319.0
BRCA2_17_03	268	247.0
BRCA2_18_01	466	430.0
BRCA2_18_02	298	275.0
BRCA2_19_01	345	318.0
BRCA2_19_02	476	439.0
BRCA2_20_01	228	210.0
BRCA2_21_01	192	177.0
BRCA2_21_02	355	327.0
BRCA2_22_01	270	249.0
BRCA2_22_02	328	302.0
BRCA2_23_01	196	181.0
BRCA2_23_02	280	258.0
BRCA2_24_01	486	448.0
BRCA2_24_02	218	201.0
BRCA2_25_01	199	183.0
BRCA2_25_02	185	171.0
BRCA2_26_01	296	273.0
BRCA2_26_02	266	245.0
BRCA2_26_03	171	158.0
BRCA2_26_04	389	359.0
BRCA2_26_05	353	325.0
BRCA1_01_01	486	448.0
BRCA1_02_01	285	263.0
BRCA1_03_01	297	274.0
BRCA1_04_01	474	437.0
BRCA1_05_01	500	461.0
BRCA1_06_01	318	293.0
BRCA1_07_01	329	303.0
BRCA1_08_01	330	304.0
BRCA1_09_01	225	207.0
BRCA1_09_02	450	415.0
BRCA1_09_03	274	253.0
BRCA1_10_01	180	166.0
BRCA1_10_02	291	268.0
BRCA1_11_01	161	148.0
BRCA1_12_01	205	189.0
BRCA1_13_01	377	348.0
BRCA1_13_02	271	250.0
BRCA1_14_01	371	342.0
BRCA1_15_01	361	333.0
BRCA1_15_02	248	229.0
BRCA1_15_03	282	260.0
BRCA1_15_04	266	245.0
BRCA1_15_05	264	243.0
BRCA1_15_06	171	158.0
BRCA1_15_07	195	180.0
BRCA1_15_08	301	278.0
BRCA1_15_09	166	153.0
BRCA1_15_10	388	358.0
BRCA1_15_11	328	302.0
BRCA1_15_12	249	230.0
BRCA1_15_13	245	226.0
BRCA1_15_14	264	243.0
BRCA1_15_15	265	244.0
BRCA1_15_16	298	275.0
BRCA1_15_17	342	315.0
BRCA1_15_18	165	152.0
BRCA1_15_19	221	204.0
BRCA1_15_20	452	417.0
BRCA1_15_21	290	267.0
BRCA1_15_22	359	331.0
BRCA1_15_23	355	327.0
BRCA1_15_24	328	302.0
BRCA1_15_25	394	363.0
BRCA1_15_26	416	384.0
BRCA1_16_01	270	249.0
BRCA1_17_01	368	339.0
BRCA1_18_01	277	255.0
BRCA1_19_01	407	375.0
BRCA1_20_01	281	259.0
BRCA1_21_01	300	277.0
BRCA1_22_01	416	384.0
BRCA1_23_01	321	296.0
