amplicon_name	raw_count	300x_count
BRCA2_01_01	367	341.0
BRCA2_02_01	209	194.0
BRCA2_02_02	252	234.0
BRCA2_03_01	279	259.0
BRCA2_03_02	379	352.0
BRCA2_04_01	513	477.0
BRCA2_05_01	363	337.0
BRCA2_06_01	245	228.0
BRCA2_07_01	395	367.0
BRCA2_08_01	388	361.0
BRCA2_09_01	218	203.0
BRCA2_09_02	326	303.0
BRCA2_09_03	416	387.0
BRCA2_09_04	409	380.0
BRCA2_09_05	274	255.0
BRCA2_09_06	341	317.0
BRCA2_09_07	337	313.0
BRCA2_09_08	276	256.0
BRCA2_09_09	496	461.0
BRCA2_09_10	377	350.0
BRCA2_10_01	201	187.0
BRCA2_10_02	188	175.0
BRCA2_10_03	385	358.0
BRCA2_10_04	540	502.0
BRCA2_10_05	355	330.0
BRCA2_10_06	308	286.0
BRCA2_10_07	348	323.0
BRCA2_10_08	337	313.0
BRCA2_10_09	380	353.0
BRCA2_10_10	515	479.0
BRCA2_10_11	265	246.0
BRCA2_10_12	371	345.0
BRCA2_10_13	277	257.0
BRCA2_10_14	275	256.0
BRCA2_10_15	455	423.0
BRCA2_10_16	436	405.0
BRCA2_10_17	376	349.0
BRCA2_10_18	354	329.0
BRCA2_10_19	395	367.0
BRCA2_10_20	260	242.0
BRCA2_10_21	309	287.0
BRCA2_10_22	412	383.0
BRCA2_10_23	356	331.0
BRCA2_10_24	479	445.0
BRCA2_10_25	299	278.0
BRCA2_10_26	240	223.0
BRCA2_10_27	405	376.0
BRCA2_10_28	314	292.0
BRCA2_10_29	136	126.0
BRCA2_10_30	331	308.0
BRCA2_10_31	334	310.0
BRCA2_10_32	307	285.0
BRCA2_10_33	305	283.0
BRCA2_10_34	329	306.0
BRCA2_10_35	445	414.0
BRCA2_10_36	380	353.0
BRCA2_10_37	253	235.0
BRCA2_10_38	420	390.0
BRCA2_10_39	253	235.0
BRCA2_11_01	319	296.0
BRCA2_12_01	310	288.0
BRCA2_13_01	303	282.0
BRCA2_13_02	641	596.0
BRCA2_13_03	292	271.0
BRCA2_13_04	217	202.0
BRCA2_14_01	397	369.0
BRCA2_14_02	346	322.0
BRCA2_15_01	157	146.0
BRCA2_15_02	365	339.0
BRCA2_16_01	432	401.0
BRCA2_16_02	345	321.0
BRCA2_17_01	387	360.0
BRCA2_17_02	479	445.0
BRCA2_17_03	276	256.0
BRCA2_18_01	479	445.0
BRCA2_18_02	335	311.0
BRCA2_19_01	358	333.0
BRCA2_19_02	391	363.0
BRCA2_20_01	226	210.0
BRCA2_21_01	216	201.0
BRCA2_21_02	379	352.0
BRCA2_22_01	400	372.0
BRCA2_22_02	363	337.0
BRCA2_23_01	331	308.0
BRCA2_23_02	391	363.0
BRCA2_24_01	353	328.0
BRCA2_24_02	258	240.0
BRCA2_25_01	185	172.0
BRCA2_25_02	296	275.0
BRCA2_26_01	289	269.0
BRCA2_26_02	207	192.0
BRCA2_26_03	204	190.0
BRCA2_26_04	309	287.0
BRCA2_26_05	204	190.0
BRCA1_01_01	380	353.0
BRCA1_02_01	266	247.0
BRCA1_03_01	384	357.0
BRCA1_04_01	327	304.0
BRCA1_05_01	393	365.0
BRCA1_06_01	357	332.0
BRCA1_07_01	338	314.0
BRCA1_08_01	325	302.0
BRCA1_09_01	267	248.0
BRCA1_09_02	322	299.0
BRCA1_09_03	274	255.0
BRCA1_10_01	215	200.0
BRCA1_10_02	270	251.0
BRCA1_11_01	222	206.0
BRCA1_12_01	197	183.0
BRCA1_13_01	340	316.0
BRCA1_13_02	351	326.0
BRCA1_14_01	243	226.0
BRCA1_15_01	298	277.0
BRCA1_15_02	232	216.0
BRCA1_15_03	405	376.0
BRCA1_15_04	274	255.0
BRCA1_15_05	305	283.0
BRCA1_15_06	178	165.0
BRCA1_15_07	199	185.0
BRCA1_15_08	279	259.0
BRCA1_15_09	226	210.0
BRCA1_15_10	355	330.0
BRCA1_15_11	286	266.0
BRCA1_15_12	247	230.0
BRCA1_15_13	236	219.0
BRCA1_15_14	272	253.0
BRCA1_15_15	279	259.0
BRCA1_15_16	285	265.0
BRCA1_15_17	406	377.0
BRCA1_15_18	252	234.0
BRCA1_15_19	271	252.0
BRCA1_15_20	326	303.0
BRCA1_15_21	262	243.0
BRCA1_15_22	396	368.0
BRCA1_15_23	328	305.0
BRCA1_15_24	322	299.0
BRCA1_15_25	313	291.0
BRCA1_15_26	330	307.0
BRCA1_16_01	243	226.0
BRCA1_17_01	380	353.0
BRCA1_18_01	277	257.0
BRCA1_19_01	339	315.0
BRCA1_20_01	287	267.0
BRCA1_21_01	289	269.0
BRCA1_22_01	391	363.0
BRCA1_23_01	267	248.0
