amplicon_name	raw_count	300x_count
BRCA2_01_01	904	356.0
BRCA2_02_01	499	196.0
BRCA2_02_02	786	309.0
BRCA2_03_01	640	252.0
BRCA2_03_02	1251	492.0
BRCA2_04_01	876	345.0
BRCA2_05_01	827	325.0
BRCA2_06_01	684	269.0
BRCA2_07_01	953	375.0
BRCA2_08_01	1094	430.0
BRCA2_09_01	524	206.0
BRCA2_09_02	701	276.0
BRCA2_09_03	805	317.0
BRCA2_09_04	1129	444.0
BRCA2_09_05	695	273.0
BRCA2_09_06	605	238.0
BRCA2_09_07	1091	429.0
BRCA2_09_08	628	247.0
BRCA2_09_09	939	370.0
BRCA2_09_10	831	327.0
BRCA2_10_01	568	224.0
BRCA2_10_02	516	203.0
BRCA2_10_03	1144	450.0
BRCA2_10_04	786	309.0
BRCA2_10_05	983	387.0
BRCA2_10_06	695	273.0
BRCA2_10_07	620	244.0
BRCA2_10_08	720	283.0
BRCA2_10_09	825	325.0
BRCA2_10_10	1113	438.0
BRCA2_10_11	810	319.0
BRCA2_10_12	955	376.0
BRCA2_10_13	569	224.0
BRCA2_10_14	505	199.0
BRCA2_10_15	998	393.0
BRCA2_10_16	1052	414.0
BRCA2_10_17	1102	434.0
BRCA2_10_18	871	343.0
BRCA2_10_19	948	373.0
BRCA2_10_20	661	260.0
BRCA2_10_21	954	375.0
BRCA2_10_22	1384	545.0
BRCA2_10_23	817	321.0
BRCA2_10_24	1181	465.0
BRCA2_10_25	623	245.0
BRCA2_10_26	820	323.0
BRCA2_10_27	707	278.0
BRCA2_10_28	1070	421.0
BRCA2_10_29	492	194.0
BRCA2_10_30	672	264.0
BRCA2_10_31	734	289.0
BRCA2_10_32	853	336.0
BRCA2_10_33	877	345.0
BRCA2_10_34	614	242.0
BRCA2_10_35	1012	398.0
BRCA2_10_36	1220	480.0
BRCA2_10_37	653	257.0
BRCA2_10_38	1187	467.0
BRCA2_10_39	617	243.0
BRCA2_11_01	848	334.0
BRCA2_12_01	948	373.0
BRCA2_13_01	650	256.0
BRCA2_13_02	1079	425.0
BRCA2_13_03	914	360.0
BRCA2_13_04	409	161.0
BRCA2_14_01	1204	474.0
BRCA2_14_02	683	269.0
BRCA2_15_01	341	134.0
BRCA2_15_02	700	275.0
BRCA2_16_01	903	355.0
BRCA2_16_02	461	181.0
BRCA2_17_01	641	252.0
BRCA2_17_02	882	347.0
BRCA2_17_03	571	225.0
BRCA2_18_01	1194	470.0
BRCA2_18_02	685	270.0
BRCA2_19_01	756	297.0
BRCA2_19_02	1074	423.0
BRCA2_20_01	558	220.0
BRCA2_21_01	506	199.0
BRCA2_21_02	887	349.0
BRCA2_22_01	743	292.0
BRCA2_22_02	775	305.0
BRCA2_23_01	449	177.0
BRCA2_23_02	568	224.0
BRCA2_24_01	1115	439.0
BRCA2_24_02	540	212.0
BRCA2_25_01	461	181.0
BRCA2_25_02	411	162.0
BRCA2_26_01	632	249.0
BRCA2_26_02	676	266.0
BRCA2_26_03	421	166.0
BRCA2_26_04	1055	415.0
BRCA2_26_05	739	291.0
BRCA1_01_01	990	390.0
BRCA1_02_01	553	218.0
BRCA1_03_01	543	214.0
BRCA1_04_01	884	348.0
BRCA1_05_01	1169	460.0
BRCA1_06_01	783	308.0
BRCA1_07_01	706	278.0
BRCA1_08_01	726	286.0
BRCA1_09_01	508	200.0
BRCA1_09_02	1235	486.0
BRCA1_09_03	623	245.0
BRCA1_10_01	420	165.0
BRCA1_10_02	709	279.0
BRCA1_11_01	458	180.0
BRCA1_12_01	481	189.0
BRCA1_13_01	795	313.0
BRCA1_13_02	575	226.0
BRCA1_14_01	933	367.0
BRCA1_15_01	646	254.0
BRCA1_15_02	463	182.0
BRCA1_15_03	650	256.0
BRCA1_15_04	467	184.0
BRCA1_15_05	737	290.0
BRCA1_15_06	375	148.0
BRCA1_15_07	565	222.0
BRCA1_15_08	629	248.0
BRCA1_15_09	429	169.0
BRCA1_15_10	988	389.0
BRCA1_15_11	919	362.0
BRCA1_15_12	619	244.0
BRCA1_15_13	801	315.0
BRCA1_15_14	567	223.0
BRCA1_15_15	670	264.0
BRCA1_15_16	739	291.0
BRCA1_15_17	628	247.0
BRCA1_15_18	342	135.0
BRCA1_15_19	584	230.0
BRCA1_15_20	997	392.0
BRCA1_15_21	749	295.0
BRCA1_15_22	659	259.0
BRCA1_15_23	1031	406.0
BRCA1_15_24	889	350.0
BRCA1_15_25	1078	424.0
BRCA1_15_26	754	297.0
BRCA1_16_01	599	236.0
BRCA1_17_01	728	286.0
BRCA1_18_01	650	256.0
BRCA1_19_01	774	305.0
BRCA1_20_01	572	225.0
BRCA1_21_01	507	200.0
BRCA1_22_01	832	327.0
BRCA1_23_01	709	279.0
