amplicon_name	raw_count	300x_count
BRCA2_01_01	1104	397.0
BRCA2_02_01	571	205.0
BRCA2_02_02	915	329.0
BRCA2_03_01	643	231.0
BRCA2_03_02	1389	499.0
BRCA2_04_01	1062	382.0
BRCA2_05_01	976	351.0
BRCA2_06_01	685	246.0
BRCA2_07_01	945	340.0
BRCA2_08_01	1163	418.0
BRCA2_09_01	531	191.0
BRCA2_09_02	746	268.0
BRCA2_09_03	956	344.0
BRCA2_09_04	1183	425.0
BRCA2_09_05	839	302.0
BRCA2_09_06	691	248.0
BRCA2_09_07	1124	404.0
BRCA2_09_08	702	252.0
BRCA2_09_09	1029	370.0
BRCA2_09_10	888	319.0
BRCA2_10_01	600	216.0
BRCA2_10_02	482	173.0
BRCA2_10_03	1233	443.0
BRCA2_10_04	1042	375.0
BRCA2_10_05	1094	393.0
BRCA2_10_06	706	254.0
BRCA2_10_07	737	265.0
BRCA2_10_08	729	262.0
BRCA2_10_09	962	346.0
BRCA2_10_10	1277	459.0
BRCA2_10_11	908	326.0
BRCA2_10_12	1055	379.0
BRCA2_10_13	665	239.0
BRCA2_10_14	527	189.0
BRCA2_10_15	1077	387.0
BRCA2_10_16	1084	390.0
BRCA2_10_17	1238	445.0
BRCA2_10_18	888	319.0
BRCA2_10_19	921	331.0
BRCA2_10_20	655	235.0
BRCA2_10_21	1126	405.0
BRCA2_10_22	1396	502.0
BRCA2_10_23	753	271.0
BRCA2_10_24	1374	494.0
BRCA2_10_25	700	252.0
BRCA2_10_26	785	282.0
BRCA2_10_27	828	298.0
BRCA2_10_28	1087	391.0
BRCA2_10_29	521	187.0
BRCA2_10_30	758	273.0
BRCA2_10_31	893	321.0
BRCA2_10_32	831	299.0
BRCA2_10_33	979	352.0
BRCA2_10_34	684	246.0
BRCA2_10_35	1098	395.0
BRCA2_10_36	1280	460.0
BRCA2_10_37	755	271.0
BRCA2_10_38	1315	473.0
BRCA2_10_39	699	251.0
BRCA2_11_01	837	301.0
BRCA2_12_01	969	348.0
BRCA2_13_01	650	234.0
BRCA2_13_02	1181	425.0
BRCA2_13_03	954	343.0
BRCA2_13_04	509	183.0
BRCA2_14_01	1166	419.0
BRCA2_14_02	740	266.0
BRCA2_15_01	310	111.0
BRCA2_15_02	741	266.0
BRCA2_16_01	937	337.0
BRCA2_16_02	459	165.0
BRCA2_17_01	793	285.0
BRCA2_17_02	1007	362.0
BRCA2_17_03	598	215.0
BRCA2_18_01	1338	481.0
BRCA2_18_02	691	248.0
BRCA2_19_01	761	274.0
BRCA2_19_02	1074	386.0
BRCA2_20_01	573	206.0
BRCA2_21_01	405	146.0
BRCA2_21_02	1013	364.0
BRCA2_22_01	674	242.0
BRCA2_22_02	914	329.0
BRCA2_23_01	535	192.0
BRCA2_23_02	663	238.0
BRCA2_24_01	1038	373.0
BRCA2_24_02	708	255.0
BRCA2_25_01	528	190.0
BRCA2_25_02	491	177.0
BRCA2_26_01	658	237.0
BRCA2_26_02	708	255.0
BRCA2_26_03	473	170.0
BRCA2_26_04	1160	417.0
BRCA2_26_05	756	272.0
BRCA1_01_01	1120	403.0
BRCA1_02_01	621	223.0
BRCA1_03_01	753	271.0
BRCA1_04_01	1139	410.0
BRCA1_05_01	1339	481.0
BRCA1_06_01	893	321.0
BRCA1_07_01	904	325.0
BRCA1_08_01	883	317.0
BRCA1_09_01	570	205.0
BRCA1_09_02	1183	425.0
BRCA1_09_03	707	254.0
BRCA1_10_01	454	163.0
BRCA1_10_02	779	280.0
BRCA1_11_01	425	153.0
BRCA1_12_01	469	169.0
BRCA1_13_01	850	306.0
BRCA1_13_02	715	257.0
BRCA1_14_01	971	349.0
BRCA1_15_01	707	254.0
BRCA1_15_02	521	187.0
BRCA1_15_03	795	286.0
BRCA1_15_04	491	177.0
BRCA1_15_05	778	280.0
BRCA1_15_06	412	148.0
BRCA1_15_07	618	222.0
BRCA1_15_08	693	249.0
BRCA1_15_09	393	141.0
BRCA1_15_10	1031	371.0
BRCA1_15_11	934	336.0
BRCA1_15_12	714	257.0
BRCA1_15_13	878	316.0
BRCA1_15_14	617	222.0
BRCA1_15_15	831	299.0
BRCA1_15_16	760	273.0
BRCA1_15_17	726	261.0
BRCA1_15_18	379	136.0
BRCA1_15_19	617	222.0
BRCA1_15_20	1196	430.0
BRCA1_15_21	880	316.0
BRCA1_15_22	741	266.0
BRCA1_15_23	1076	387.0
BRCA1_15_24	966	347.0
BRCA1_15_25	1190	428.0
BRCA1_15_26	875	315.0
BRCA1_16_01	647	233.0
BRCA1_17_01	785	282.0
BRCA1_18_01	752	270.0
BRCA1_19_01	846	304.0
BRCA1_20_01	752	270.0
BRCA1_21_01	621	223.0
BRCA1_22_01	1196	430.0
BRCA1_23_01	737	265.0
