amplicon_name	raw_count	300x_count
BRCA2_01_01	904	365.0
BRCA2_02_01	514	207.0
BRCA2_02_02	753	304.0
BRCA2_03_01	607	245.0
BRCA2_03_02	1204	486.0
BRCA2_04_01	821	331.0
BRCA2_05_01	778	314.0
BRCA2_06_01	668	270.0
BRCA2_07_01	780	315.0
BRCA2_08_01	993	401.0
BRCA2_09_01	522	211.0
BRCA2_09_02	734	296.0
BRCA2_09_03	859	347.0
BRCA2_09_04	992	400.0
BRCA2_09_05	643	260.0
BRCA2_09_06	546	220.0
BRCA2_09_07	1005	406.0
BRCA2_09_08	583	235.0
BRCA2_09_09	929	375.0
BRCA2_09_10	858	346.0
BRCA2_10_01	569	230.0
BRCA2_10_02	491	198.0
BRCA2_10_03	1087	439.0
BRCA2_10_04	787	318.0
BRCA2_10_05	909	367.0
BRCA2_10_06	673	272.0
BRCA2_10_07	707	285.0
BRCA2_10_08	731	295.0
BRCA2_10_09	815	329.0
BRCA2_10_10	1080	436.0
BRCA2_10_11	791	319.0
BRCA2_10_12	927	374.0
BRCA2_10_13	514	207.0
BRCA2_10_14	509	205.0
BRCA2_10_15	983	397.0
BRCA2_10_16	1030	416.0
BRCA2_10_17	1037	419.0
BRCA2_10_18	826	333.0
BRCA2_10_19	883	356.0
BRCA2_10_20	501	202.0
BRCA2_10_21	859	347.0
BRCA2_10_22	1224	494.0
BRCA2_10_23	823	332.0
BRCA2_10_24	1138	459.0
BRCA2_10_25	626	253.0
BRCA2_10_26	768	310.0
BRCA2_10_27	651	263.0
BRCA2_10_28	964	389.0
BRCA2_10_29	488	197.0
BRCA2_10_30	710	287.0
BRCA2_10_31	697	281.0
BRCA2_10_32	824	333.0
BRCA2_10_33	768	310.0
BRCA2_10_34	635	256.0
BRCA2_10_35	916	370.0
BRCA2_10_36	1271	513.0
BRCA2_10_37	649	262.0
BRCA2_10_38	1241	501.0
BRCA2_10_39	562	227.0
BRCA2_11_01	847	342.0
BRCA2_12_01	817	330.0
BRCA2_13_01	619	250.0
BRCA2_13_02	1004	405.0
BRCA2_13_03	928	375.0
BRCA2_13_04	428	173.0
BRCA2_14_01	1163	469.0
BRCA2_14_02	635	256.0
BRCA2_15_01	310	125.0
BRCA2_15_02	635	256.0
BRCA2_16_01	883	356.0
BRCA2_16_02	423	171.0
BRCA2_17_01	727	293.0
BRCA2_17_02	858	346.0
BRCA2_17_03	563	227.0
BRCA2_18_01	1164	470.0
BRCA2_18_02	628	254.0
BRCA2_19_01	713	288.0
BRCA2_19_02	1057	427.0
BRCA2_20_01	473	191.0
BRCA2_21_01	470	190.0
BRCA2_21_02	868	350.0
BRCA2_22_01	682	275.0
BRCA2_22_02	733	296.0
BRCA2_23_01	489	197.0
BRCA2_23_02	613	247.0
BRCA2_24_01	1067	431.0
BRCA2_24_02	549	222.0
BRCA2_25_01	494	199.0
BRCA2_25_02	433	175.0
BRCA2_26_01	619	250.0
BRCA2_26_02	649	262.0
BRCA2_26_03	453	183.0
BRCA2_26_04	1079	436.0
BRCA2_26_05	871	352.0
BRCA1_01_01	991	400.0
BRCA1_02_01	562	227.0
BRCA1_03_01	567	229.0
BRCA1_04_01	994	401.0
BRCA1_05_01	1124	454.0
BRCA1_06_01	790	319.0
BRCA1_07_01	636	257.0
BRCA1_08_01	752	304.0
BRCA1_09_01	499	201.0
BRCA1_09_02	1115	450.0
BRCA1_09_03	595	240.0
BRCA1_10_01	375	151.0
BRCA1_10_02	622	251.0
BRCA1_11_01	386	156.0
BRCA1_12_01	429	173.0
BRCA1_13_01	795	321.0
BRCA1_13_02	486	196.0
BRCA1_14_01	1001	404.0
BRCA1_15_01	630	254.0
BRCA1_15_02	487	197.0
BRCA1_15_03	711	287.0
BRCA1_15_04	469	189.0
BRCA1_15_05	655	264.0
BRCA1_15_06	423	171.0
BRCA1_15_07	567	229.0
BRCA1_15_08	615	248.0
BRCA1_15_09	395	159.0
BRCA1_15_10	962	388.0
BRCA1_15_11	831	335.0
BRCA1_15_12	617	249.0
BRCA1_15_13	801	323.0
BRCA1_15_14	563	227.0
BRCA1_15_15	690	279.0
BRCA1_15_16	718	290.0
BRCA1_15_17	667	269.0
BRCA1_15_18	372	150.0
BRCA1_15_19	566	228.0
BRCA1_15_20	1023	413.0
BRCA1_15_21	745	301.0
BRCA1_15_22	685	277.0
BRCA1_15_23	941	380.0
BRCA1_15_24	965	390.0
BRCA1_15_25	1060	428.0
BRCA1_15_26	799	323.0
BRCA1_16_01	577	233.0
BRCA1_17_01	674	272.0
BRCA1_18_01	629	254.0
BRCA1_19_01	844	341.0
BRCA1_20_01	555	224.0
BRCA1_21_01	570	230.0
BRCA1_22_01	912	368.0
BRCA1_23_01	766	309.0
