amplicon_name	raw_count	300x_count
BRCA2_01_01	524	417.0
BRCA2_02_01	257	204.0
BRCA2_02_02	361	287.0
BRCA2_03_01	283	225.0
BRCA2_03_02	579	461.0
BRCA2_04_01	484	385.0
BRCA2_05_01	421	335.0
BRCA2_06_01	363	289.0
BRCA2_07_01	502	399.0
BRCA2_08_01	568	452.0
BRCA2_09_01	266	212.0
BRCA2_09_02	322	256.0
BRCA2_09_03	396	315.0
BRCA2_09_04	298	237.0
BRCA2_09_05	366	291.0
BRCA2_09_06	266	212.0
BRCA2_09_07	405	322.0
BRCA2_09_08	372	296.0
BRCA2_09_09	434	345.0
BRCA2_09_10	359	286.0
BRCA2_10_01	295	235.0
BRCA2_10_02	248	197.0
BRCA2_10_03	400	318.0
BRCA2_10_04	440	350.0
BRCA2_10_05	337	268.0
BRCA2_10_06	309	246.0
BRCA2_10_07	369	294.0
BRCA2_10_08	406	323.0
BRCA2_10_09	333	265.0
BRCA2_10_10	476	379.0
BRCA2_10_11	267	212.0
BRCA2_10_12	389	310.0
BRCA2_10_13	529	421.0
BRCA2_10_14	264	210.0
BRCA2_10_15	587	467.0
BRCA2_10_16	478	380.0
BRCA2_10_17	335	267.0
BRCA2_10_18	309	246.0
BRCA2_10_19	473	376.0
BRCA2_10_20	237	189.0
BRCA2_10_21	361	287.0
BRCA2_10_22	525	418.0
BRCA2_10_23	371	295.0
BRCA2_10_24	390	310.0
BRCA2_10_25	300	239.0
BRCA2_10_26	236	188.0
BRCA2_10_27	373	297.0
BRCA2_10_28	333	265.0
BRCA2_10_29	219	174.0
BRCA2_10_30	396	315.0
BRCA2_10_31	394	314.0
BRCA2_10_32	369	294.0
BRCA2_10_33	382	304.0
BRCA2_10_34	297	236.0
BRCA2_10_35	437	348.0
BRCA2_10_36	562	447.0
BRCA2_10_37	465	370.0
BRCA2_10_38	487	388.0
BRCA2_10_39	339	270.0
BRCA2_11_01	450	358.0
BRCA2_12_01	540	430.0
BRCA2_13_01	320	255.0
BRCA2_13_02	845	672.0
BRCA2_13_03	418	333.0
BRCA2_13_04	245	195.0
BRCA2_14_01	604	481.0
BRCA2_14_02	423	337.0
BRCA2_15_01	175	139.0
BRCA2_15_02	441	351.0
BRCA2_16_01	522	415.0
BRCA2_16_02	299	238.0
BRCA2_17_01	289	230.0
BRCA2_17_02	450	358.0
BRCA2_17_03	281	224.0
BRCA2_18_01	541	430.0
BRCA2_18_02	360	286.0
BRCA2_19_01	450	358.0
BRCA2_19_02	734	584.0
BRCA2_20_01	314	250.0
BRCA2_21_01	264	210.0
BRCA2_21_02	744	592.0
BRCA2_22_01	413	329.0
BRCA2_22_02	441	351.0
BRCA2_23_01	262	208.0
BRCA2_23_02	370	294.0
BRCA2_24_01	591	470.0
BRCA2_24_02	358	285.0
BRCA2_25_01	176	140.0
BRCA2_25_02	270	215.0
BRCA2_26_01	334	266.0
BRCA2_26_02	358	285.0
BRCA2_26_03	149	119.0
BRCA2_26_04	441	351.0
BRCA2_26_05	305	243.0
BRCA1_01_01	622	495.0
BRCA1_02_01	333	265.0
BRCA1_03_01	378	301.0
BRCA1_04_01	502	399.0
BRCA1_05_01	581	462.0
BRCA1_06_01	360	286.0
BRCA1_07_01	440	350.0
BRCA1_08_01	415	330.0
BRCA1_09_01	244	194.0
BRCA1_09_02	614	489.0
BRCA1_09_03	333	265.0
BRCA1_10_01	203	162.0
BRCA1_10_02	442	352.0
BRCA1_11_01	236	188.0
BRCA1_12_01	310	247.0
BRCA1_13_01	471	375.0
BRCA1_13_02	383	305.0
BRCA1_14_01	504	401.0
BRCA1_15_01	387	308.0
BRCA1_15_02	249	198.0
BRCA1_15_03	423	337.0
BRCA1_15_04	250	199.0
BRCA1_15_05	324	258.0
BRCA1_15_06	170	135.0
BRCA1_15_07	234	186.0
BRCA1_15_08	330	263.0
BRCA1_15_09	226	180.0
BRCA1_15_10	461	367.0
BRCA1_15_11	322	256.0
BRCA1_15_12	342	272.0
BRCA1_15_13	315	251.0
BRCA1_15_14	197	157.0
BRCA1_15_15	303	241.0
BRCA1_15_16	283	225.0
BRCA1_15_17	357	284.0
BRCA1_15_18	192	153.0
BRCA1_15_19	306	243.0
BRCA1_15_20	334	266.0
BRCA1_15_21	285	227.0
BRCA1_15_22	309	246.0
BRCA1_15_23	335	267.0
BRCA1_15_24	344	274.0
BRCA1_15_25	337	268.0
BRCA1_15_26	415	330.0
BRCA1_16_01	310	247.0
BRCA1_17_01	333	265.0
BRCA1_18_01	385	306.0
BRCA1_19_01	430	342.0
BRCA1_20_01	369	294.0
BRCA1_21_01	299	238.0
BRCA1_22_01	544	433.0
BRCA1_23_01	415	330.0
BRCA1_24_01	226	180.0
BRCA1_25_01	413	329.0
BRCA1_26_01	242	193.0
BRCA1_27_01	513	408.0
BRCA1_27_02	330	263.0
