amplicon_name	raw_count	300x_count
BRCA2_01_01	498	384.0
BRCA2_02_01	369	285.0
BRCA2_02_02	371	286.0
BRCA2_03_01	345	266.0
BRCA2_03_02	513	396.0
BRCA2_04_01	503	388.0
BRCA2_05_01	385	297.0
BRCA2_06_01	466	360.0
BRCA2_07_01	461	356.0
BRCA2_08_01	545	421.0
BRCA2_09_01	334	258.0
BRCA2_09_02	383	296.0
BRCA2_09_03	341	263.0
BRCA2_09_04	290	224.0
BRCA2_09_05	358	276.0
BRCA2_09_06	253	195.0
BRCA2_09_07	387	299.0
BRCA2_09_08	355	274.0
BRCA2_09_09	432	334.0
BRCA2_09_10	310	239.0
BRCA2_10_01	355	274.0
BRCA2_10_02	295	228.0
BRCA2_10_03	366	283.0
BRCA2_10_04	413	319.0
BRCA2_10_05	359	277.0
BRCA2_10_06	358	276.0
BRCA2_10_07	472	364.0
BRCA2_10_08	457	353.0
BRCA2_10_09	362	279.0
BRCA2_10_10	445	344.0
BRCA2_10_11	314	242.0
BRCA2_10_12	402	310.0
BRCA2_10_13	425	328.0
BRCA2_10_14	324	250.0
BRCA2_10_15	618	477.0
BRCA2_10_16	492	380.0
BRCA2_10_17	342	264.0
BRCA2_10_18	391	302.0
BRCA2_10_19	511	395.0
BRCA2_10_20	232	179.0
BRCA2_10_21	321	248.0
BRCA2_10_22	522	403.0
BRCA2_10_23	462	357.0
BRCA2_10_24	457	353.0
BRCA2_10_25	324	250.0
BRCA2_10_26	245	189.0
BRCA2_10_27	487	376.0
BRCA2_10_28	331	256.0
BRCA2_10_29	225	174.0
BRCA2_10_30	390	301.0
BRCA2_10_31	390	301.0
BRCA2_10_32	354	273.0
BRCA2_10_33	342	264.0
BRCA2_10_34	355	274.0
BRCA2_10_35	321	248.0
BRCA2_10_36	484	374.0
BRCA2_10_37	387	299.0
BRCA2_10_38	495	382.0
BRCA2_10_39	297	229.0
BRCA2_11_01	453	350.0
BRCA2_12_01	539	416.0
BRCA2_13_01	315	243.0
BRCA2_13_02	728	562.0
BRCA2_13_03	541	418.0
BRCA2_13_04	284	219.0
BRCA2_14_01	550	425.0
BRCA2_14_02	354	273.0
BRCA2_15_01	246	190.0
BRCA2_15_02	448	346.0
BRCA2_16_01	574	443.0
BRCA2_16_02	287	222.0
BRCA2_17_01	399	308.0
BRCA2_17_02	441	340.0
BRCA2_17_03	349	269.0
BRCA2_18_01	479	370.0
BRCA2_18_02	510	394.0
BRCA2_19_01	412	318.0
BRCA2_19_02	725	560.0
BRCA2_20_01	307	237.0
BRCA2_21_01	322	249.0
BRCA2_21_02	663	512.0
BRCA2_22_01	503	388.0
BRCA2_22_02	339	262.0
BRCA2_23_01	295	228.0
BRCA2_23_02	366	283.0
BRCA2_24_01	617	476.0
BRCA2_24_02	363	280.0
BRCA2_25_01	246	190.0
BRCA2_25_02	268	207.0
BRCA2_26_01	446	344.0
BRCA2_26_02	373	288.0
BRCA2_26_03	229	177.0
BRCA2_26_04	435	336.0
BRCA2_26_05	301	232.0
BRCA1_01_01	581	449.0
BRCA1_02_01	322	249.0
BRCA1_03_01	341	263.0
BRCA1_04_01	415	320.0
BRCA1_05_01	590	455.0
BRCA1_06_01	391	302.0
BRCA1_07_01	425	328.0
BRCA1_08_01	423	327.0
BRCA1_09_01	293	226.0
BRCA1_09_02	598	462.0
BRCA1_09_03	320	247.0
BRCA1_10_01	204	157.0
BRCA1_10_02	388	300.0
BRCA1_11_01	255	197.0
BRCA1_12_01	372	287.0
BRCA1_13_01	563	435.0
BRCA1_13_02	400	309.0
BRCA1_14_01	469	362.0
BRCA1_15_01	386	298.0
BRCA1_15_02	285	220.0
BRCA1_15_03	492	380.0
BRCA1_15_04	304	235.0
BRCA1_15_05	368	284.0
BRCA1_15_06	310	239.0
BRCA1_15_07	258	199.0
BRCA1_15_08	290	224.0
BRCA1_15_09	324	250.0
BRCA1_15_10	448	346.0
BRCA1_15_11	254	196.0
BRCA1_15_12	270	208.0
BRCA1_15_13	272	210.0
BRCA1_15_14	279	215.0
BRCA1_15_15	302	233.0
BRCA1_15_16	295	228.0
BRCA1_15_17	458	354.0
BRCA1_15_18	214	165.0
BRCA1_15_19	445	344.0
BRCA1_15_20	340	262.0
BRCA1_15_21	233	180.0
BRCA1_15_22	324	250.0
BRCA1_15_23	309	239.0
BRCA1_15_24	436	337.0
BRCA1_15_25	294	227.0
BRCA1_15_26	440	340.0
BRCA1_16_01	281	217.0
BRCA1_17_01	414	320.0
BRCA1_18_01	424	327.0
BRCA1_19_01	454	350.0
BRCA1_20_01	347	268.0
BRCA1_21_01	309	239.0
BRCA1_22_01	528	408.0
BRCA1_23_01	492	380.0
BRCA1_24_01	259	200.0
BRCA1_25_01	377	291.0
BRCA1_26_01	286	221.0
BRCA1_27_01	442	341.0
BRCA1_27_02	356	275.0
