amplicon_name	raw_count	300x_count
BRCA2_01_01	497	374.0
BRCA2_02_01	300	226.0
BRCA2_02_02	410	309.0
BRCA2_03_01	363	273.0
BRCA2_03_02	635	478.0
BRCA2_04_01	499	376.0
BRCA2_05_01	430	324.0
BRCA2_06_01	408	307.0
BRCA2_07_01	578	435.0
BRCA2_08_01	598	450.0
BRCA2_09_01	329	248.0
BRCA2_09_02	332	250.0
BRCA2_09_03	406	306.0
BRCA2_09_04	317	239.0
BRCA2_09_05	385	290.0
BRCA2_09_06	276	208.0
BRCA2_09_07	461	347.0
BRCA2_09_08	343	258.0
BRCA2_09_09	470	354.0
BRCA2_09_10	362	273.0
BRCA2_10_01	315	237.0
BRCA2_10_02	259	195.0
BRCA2_10_03	384	289.0
BRCA2_10_04	438	330.0
BRCA2_10_05	372	280.0
BRCA2_10_06	354	267.0
BRCA2_10_07	448	337.0
BRCA2_10_08	439	331.0
BRCA2_10_09	341	257.0
BRCA2_10_10	461	347.0
BRCA2_10_11	301	227.0
BRCA2_10_12	427	322.0
BRCA2_10_13	459	346.0
BRCA2_10_14	305	230.0
BRCA2_10_15	645	486.0
BRCA2_10_16	473	356.0
BRCA2_10_17	395	297.0
BRCA2_10_18	382	288.0
BRCA2_10_19	483	364.0
BRCA2_10_20	246	185.0
BRCA2_10_21	368	277.0
BRCA2_10_22	554	417.0
BRCA2_10_23	410	309.0
BRCA2_10_24	440	331.0
BRCA2_10_25	328	247.0
BRCA2_10_26	256	193.0
BRCA2_10_27	443	334.0
BRCA2_10_28	386	291.0
BRCA2_10_29	251	189.0
BRCA2_10_30	388	292.0
BRCA2_10_31	391	294.0
BRCA2_10_32	358	270.0
BRCA2_10_33	397	299.0
BRCA2_10_34	369	278.0
BRCA2_10_35	405	305.0
BRCA2_10_36	528	398.0
BRCA2_10_37	444	334.0
BRCA2_10_38	553	416.0
BRCA2_10_39	332	250.0
BRCA2_11_01	507	382.0
BRCA2_12_01	489	368.0
BRCA2_13_01	321	242.0
BRCA2_13_02	778	586.0
BRCA2_13_03	436	328.0
BRCA2_13_04	250	188.0
BRCA2_14_01	625	471.0
BRCA2_14_02	405	305.0
BRCA2_15_01	236	178.0
BRCA2_15_02	455	343.0
BRCA2_16_01	579	436.0
BRCA2_16_02	315	237.0
BRCA2_17_01	387	291.0
BRCA2_17_02	507	382.0
BRCA2_17_03	308	232.0
BRCA2_18_01	505	380.0
BRCA2_18_02	446	336.0
BRCA2_19_01	400	301.0
BRCA2_19_02	734	553.0
BRCA2_20_01	352	265.0
BRCA2_21_01	288	217.0
BRCA2_21_02	775	584.0
BRCA2_22_01	477	359.0
BRCA2_22_02	433	326.0
BRCA2_23_01	258	194.0
BRCA2_23_02	420	316.0
BRCA2_24_01	607	457.0
BRCA2_24_02	406	306.0
BRCA2_25_01	236	178.0
BRCA2_25_02	263	198.0
BRCA2_26_01	389	293.0
BRCA2_26_02	331	249.0
BRCA2_26_03	192	145.0
BRCA2_26_04	473	356.0
BRCA2_26_05	283	213.0
BRCA1_01_01	730	550.0
BRCA1_02_01	333	251.0
BRCA1_03_01	374	282.0
BRCA1_04_01	395	297.0
BRCA1_05_01	585	441.0
BRCA1_06_01	448	337.0
BRCA1_07_01	456	343.0
BRCA1_08_01	464	349.0
BRCA1_09_01	293	221.0
BRCA1_09_02	572	431.0
BRCA1_09_03	369	278.0
BRCA1_10_01	243	183.0
BRCA1_10_02	430	324.0
BRCA1_11_01	256	193.0
BRCA1_12_01	395	297.0
BRCA1_13_01	461	347.0
BRCA1_13_02	366	276.0
BRCA1_14_01	520	392.0
BRCA1_15_01	415	313.0
BRCA1_15_02	256	193.0
BRCA1_15_03	428	322.0
BRCA1_15_04	270	203.0
BRCA1_15_05	369	278.0
BRCA1_15_06	251	189.0
BRCA1_15_07	246	185.0
BRCA1_15_08	324	244.0
BRCA1_15_09	278	209.0
BRCA1_15_10	442	333.0
BRCA1_15_11	323	243.0
BRCA1_15_12	324	244.0
BRCA1_15_13	322	242.0
BRCA1_15_14	240	181.0
BRCA1_15_15	342	258.0
BRCA1_15_16	334	252.0
BRCA1_15_17	391	294.0
BRCA1_15_18	208	157.0
BRCA1_15_19	365	275.0
BRCA1_15_20	382	288.0
BRCA1_15_21	284	214.0
BRCA1_15_22	315	237.0
BRCA1_15_23	330	249.0
BRCA1_15_24	363	273.0
BRCA1_15_25	351	264.0
BRCA1_15_26	436	328.0
BRCA1_16_01	301	227.0
BRCA1_17_01	402	303.0
BRCA1_18_01	403	304.0
BRCA1_19_01	464	349.0
BRCA1_20_01	399	300.0
BRCA1_21_01	294	221.0
BRCA1_22_01	546	411.0
BRCA1_23_01	495	373.0
BRCA1_24_01	256	193.0
BRCA1_25_01	464	349.0
BRCA1_26_01	285	215.0
BRCA1_27_01	443	334.0
BRCA1_27_02	327	246.0
