amplicon_name	raw_count	300x_count
BRCA2_01_01	368	308.0
BRCA2_02_01	277	232.0
BRCA2_02_02	381	319.0
BRCA2_03_01	306	256.0
BRCA2_03_02	490	410.0
BRCA2_04_01	477	400.0
BRCA2_05_01	353	296.0
BRCA2_06_01	420	352.0
BRCA2_07_01	409	343.0
BRCA2_08_01	514	431.0
BRCA2_09_01	306	256.0
BRCA2_09_02	323	271.0
BRCA2_09_03	334	280.0
BRCA2_09_04	249	209.0
BRCA2_09_05	309	259.0
BRCA2_09_06	235	197.0
BRCA2_09_07	391	328.0
BRCA2_09_08	340	285.0
BRCA2_09_09	375	314.0
BRCA2_09_10	275	230.0
BRCA2_10_01	310	260.0
BRCA2_10_02	244	204.0
BRCA2_10_03	361	302.0
BRCA2_10_04	358	300.0
BRCA2_10_05	318	266.0
BRCA2_10_06	309	259.0
BRCA2_10_07	434	364.0
BRCA2_10_08	399	334.0
BRCA2_10_09	333	279.0
BRCA2_10_10	383	321.0
BRCA2_10_11	268	224.0
BRCA2_10_12	365	306.0
BRCA2_10_13	390	327.0
BRCA2_10_14	292	245.0
BRCA2_10_15	584	489.0
BRCA2_10_16	450	377.0
BRCA2_10_17	327	274.0
BRCA2_10_18	333	279.0
BRCA2_10_19	424	355.0
BRCA2_10_20	203	170.0
BRCA2_10_21	282	236.0
BRCA2_10_22	496	415.0
BRCA2_10_23	423	354.0
BRCA2_10_24	370	310.0
BRCA2_10_25	264	221.0
BRCA2_10_26	259	217.0
BRCA2_10_27	416	348.0
BRCA2_10_28	315	264.0
BRCA2_10_29	215	180.0
BRCA2_10_30	404	338.0
BRCA2_10_31	314	263.0
BRCA2_10_32	308	258.0
BRCA2_10_33	275	230.0
BRCA2_10_34	323	271.0
BRCA2_10_35	325	272.0
BRCA2_10_36	506	424.0
BRCA2_10_37	369	309.0
BRCA2_10_38	466	390.0
BRCA2_10_39	291	244.0
BRCA2_11_01	424	355.0
BRCA2_12_01	461	386.0
BRCA2_13_01	319	267.0
BRCA2_13_02	611	512.0
BRCA2_13_03	445	373.0
BRCA2_13_04	269	225.0
BRCA2_14_01	476	399.0
BRCA2_14_02	332	278.0
BRCA2_15_01	233	195.0
BRCA2_15_02	352	295.0
BRCA2_16_01	524	439.0
BRCA2_16_02	274	230.0
BRCA2_17_01	376	315.0
BRCA2_17_02	477	400.0
BRCA2_17_03	309	259.0
BRCA2_18_01	397	333.0
BRCA2_18_02	468	392.0
BRCA2_19_01	357	299.0
BRCA2_19_02	699	586.0
BRCA2_20_01	310	260.0
BRCA2_21_01	260	218.0
BRCA2_21_02	624	523.0
BRCA2_22_01	468	392.0
BRCA2_22_02	349	292.0
BRCA2_23_01	279	234.0
BRCA2_23_02	311	261.0
BRCA2_24_01	544	456.0
BRCA2_24_02	285	239.0
BRCA2_25_01	188	157.0
BRCA2_25_02	278	233.0
BRCA2_26_01	396	332.0
BRCA2_26_02	296	248.0
BRCA2_26_03	200	168.0
BRCA2_26_04	412	345.0
BRCA2_26_05	277	232.0
BRCA1_01_01	550	461.0
BRCA1_02_01	328	275.0
BRCA1_03_01	298	250.0
BRCA1_04_01	414	347.0
BRCA1_05_01	581	487.0
BRCA1_06_01	360	302.0
BRCA1_07_01	401	336.0
BRCA1_08_01	395	331.0
BRCA1_09_01	312	261.0
BRCA1_09_02	541	453.0
BRCA1_09_03	275	230.0
BRCA1_10_01	186	156.0
BRCA1_10_02	385	322.0
BRCA1_11_01	273	229.0
BRCA1_12_01	309	259.0
BRCA1_13_01	430	360.0
BRCA1_13_02	264	221.0
BRCA1_14_01	463	388.0
BRCA1_15_01	368	308.0
BRCA1_15_02	266	223.0
BRCA1_15_03	484	405.0
BRCA1_15_04	292	245.0
BRCA1_15_05	312	261.0
BRCA1_15_06	288	241.0
BRCA1_15_07	214	179.0
BRCA1_15_08	361	302.0
BRCA1_15_09	337	282.0
BRCA1_15_10	450	377.0
BRCA1_15_11	292	245.0
BRCA1_15_12	271	227.0
BRCA1_15_13	249	209.0
BRCA1_15_14	247	207.0
BRCA1_15_15	275	230.0
BRCA1_15_16	273	229.0
BRCA1_15_17	427	358.0
BRCA1_15_18	224	188.0
BRCA1_15_19	394	330.0
BRCA1_15_20	361	302.0
BRCA1_15_21	236	198.0
BRCA1_15_22	340	285.0
BRCA1_15_23	301	252.0
BRCA1_15_24	411	344.0
BRCA1_15_25	302	253.0
BRCA1_15_26	422	353.0
BRCA1_16_01	253	212.0
BRCA1_17_01	367	307.0
BRCA1_18_01	412	345.0
BRCA1_19_01	456	382.0
BRCA1_20_01	364	305.0
BRCA1_21_01	299	250.0
BRCA1_22_01	434	364.0
BRCA1_23_01	466	390.0
BRCA1_24_01	263	220.0
BRCA1_25_01	381	319.0
BRCA1_26_01	331	277.0
BRCA1_27_01	427	358.0
BRCA1_27_02	348	291.0
