amplicon_name	raw_count	300x_count
BRCA2_01_01	442	324.0
BRCA2_02_01	352	258.0
BRCA2_02_02	399	292.0
BRCA2_03_01	348	255.0
BRCA2_03_02	591	433.0
BRCA2_04_01	502	368.0
BRCA2_05_01	442	324.0
BRCA2_06_01	489	358.0
BRCA2_07_01	579	424.0
BRCA2_08_01	605	443.0
BRCA2_09_01	363	266.0
BRCA2_09_02	392	287.0
BRCA2_09_03	384	281.0
BRCA2_09_04	345	253.0
BRCA2_09_05	375	275.0
BRCA2_09_06	282	207.0
BRCA2_09_07	435	319.0
BRCA2_09_08	394	289.0
BRCA2_09_09	441	323.0
BRCA2_09_10	329	241.0
BRCA2_10_01	369	270.0
BRCA2_10_02	339	248.0
BRCA2_10_03	445	326.0
BRCA2_10_04	399	292.0
BRCA2_10_05	371	272.0
BRCA2_10_06	365	268.0
BRCA2_10_07	515	377.0
BRCA2_10_08	543	398.0
BRCA2_10_09	344	252.0
BRCA2_10_10	494	362.0
BRCA2_10_11	323	237.0
BRCA2_10_12	405	297.0
BRCA2_10_13	574	421.0
BRCA2_10_14	339	248.0
BRCA2_10_15	675	495.0
BRCA2_10_16	473	347.0
BRCA2_10_17	358	262.0
BRCA2_10_18	392	287.0
BRCA2_10_19	557	408.0
BRCA2_10_20	259	190.0
BRCA2_10_21	371	272.0
BRCA2_10_22	610	447.0
BRCA2_10_23	485	355.0
BRCA2_10_24	433	317.0
BRCA2_10_25	299	219.0
BRCA2_10_26	273	200.0
BRCA2_10_27	485	355.0
BRCA2_10_28	324	237.0
BRCA2_10_29	262	192.0
BRCA2_10_30	431	316.0
BRCA2_10_31	392	287.0
BRCA2_10_32	336	246.0
BRCA2_10_33	346	254.0
BRCA2_10_34	352	258.0
BRCA2_10_35	378	277.0
BRCA2_10_36	558	409.0
BRCA2_10_37	456	334.0
BRCA2_10_38	561	411.0
BRCA2_10_39	299	219.0
BRCA2_11_01	513	376.0
BRCA2_12_01	565	414.0
BRCA2_13_01	354	259.0
BRCA2_13_02	733	537.0
BRCA2_13_03	487	357.0
BRCA2_13_04	290	213.0
BRCA2_14_01	591	433.0
BRCA2_14_02	444	325.0
BRCA2_15_01	278	204.0
BRCA2_15_02	477	350.0
BRCA2_16_01	628	460.0
BRCA2_16_02	319	234.0
BRCA2_17_01	348	255.0
BRCA2_17_02	448	328.0
BRCA2_17_03	321	235.0
BRCA2_18_01	502	368.0
BRCA2_18_02	490	359.0
BRCA2_19_01	428	314.0
BRCA2_19_02	755	553.0
BRCA2_20_01	358	262.0
BRCA2_21_01	309	226.0
BRCA2_21_02	779	571.0
BRCA2_22_01	494	362.0
BRCA2_22_02	388	284.0
BRCA2_23_01	301	221.0
BRCA2_23_02	400	293.0
BRCA2_24_01	669	490.0
BRCA2_24_02	354	259.0
BRCA2_25_01	313	229.0
BRCA2_25_02	298	218.0
BRCA2_26_01	428	314.0
BRCA2_26_02	380	279.0
BRCA2_26_03	204	150.0
BRCA2_26_04	523	383.0
BRCA2_26_05	303	222.0
BRCA1_01_01	585	429.0
BRCA1_02_01	360	264.0
BRCA1_03_01	367	269.0
BRCA1_04_01	439	322.0
BRCA1_05_01	584	428.0
BRCA1_06_01	442	324.0
BRCA1_07_01	467	342.0
BRCA1_08_01	436	320.0
BRCA1_09_01	273	200.0
BRCA1_09_02	664	487.0
BRCA1_09_03	351	257.0
BRCA1_10_01	205	150.0
BRCA1_10_02	377	276.0
BRCA1_11_01	294	215.0
BRCA1_12_01	400	293.0
BRCA1_13_01	449	329.0
BRCA1_13_02	351	257.0
BRCA1_14_01	538	394.0
BRCA1_15_01	384	281.0
BRCA1_15_02	363	266.0
BRCA1_15_03	493	361.0
BRCA1_15_04	290	213.0
BRCA1_15_05	338	248.0
BRCA1_15_06	284	208.0
BRCA1_15_07	266	195.0
BRCA1_15_08	376	276.0
BRCA1_15_09	342	251.0
BRCA1_15_10	503	369.0
BRCA1_15_11	278	204.0
BRCA1_15_12	281	206.0
BRCA1_15_13	278	204.0
BRCA1_15_14	254	186.0
BRCA1_15_15	330	242.0
BRCA1_15_16	290	213.0
BRCA1_15_17	463	339.0
BRCA1_15_18	218	160.0
BRCA1_15_19	428	314.0
BRCA1_15_20	360	264.0
BRCA1_15_21	260	191.0
BRCA1_15_22	312	229.0
BRCA1_15_23	346	254.0
BRCA1_15_24	382	280.0
BRCA1_15_25	314	230.0
BRCA1_15_26	401	294.0
BRCA1_16_01	319	234.0
BRCA1_17_01	404	296.0
BRCA1_18_01	397	291.0
BRCA1_19_01	474	347.0
BRCA1_20_01	347	254.0
BRCA1_21_01	306	224.0
BRCA1_22_01	524	384.0
BRCA1_23_01	527	386.0
BRCA1_24_01	268	196.0
BRCA1_25_01	519	380.0
BRCA1_26_01	355	260.0
BRCA1_27_01	502	368.0
BRCA1_27_02	294	215.0
