amplicon_name	raw_count	300x_count
BRCA2_01_01	399	328.0
BRCA2_02_01	323	266.0
BRCA2_02_02	350	288.0
BRCA2_03_01	336	276.0
BRCA2_03_02	513	422.0
BRCA2_04_01	463	381.0
BRCA2_05_01	368	303.0
BRCA2_06_01	437	359.0
BRCA2_07_01	466	383.0
BRCA2_08_01	548	451.0
BRCA2_09_01	270	222.0
BRCA2_09_02	338	278.0
BRCA2_09_03	373	307.0
BRCA2_09_04	274	225.0
BRCA2_09_05	290	239.0
BRCA2_09_06	256	211.0
BRCA2_09_07	309	254.0
BRCA2_09_08	356	293.0
BRCA2_09_09	395	325.0
BRCA2_09_10	276	227.0
BRCA2_10_01	322	265.0
BRCA2_10_02	266	219.0
BRCA2_10_03	363	299.0
BRCA2_10_04	388	319.0
BRCA2_10_05	311	256.0
BRCA2_10_06	372	306.0
BRCA2_10_07	449	369.0
BRCA2_10_08	454	373.0
BRCA2_10_09	354	291.0
BRCA2_10_10	426	350.0
BRCA2_10_11	290	239.0
BRCA2_10_12	385	317.0
BRCA2_10_13	394	324.0
BRCA2_10_14	278	229.0
BRCA2_10_15	583	480.0
BRCA2_10_16	460	378.0
BRCA2_10_17	305	251.0
BRCA2_10_18	310	255.0
BRCA2_10_19	394	324.0
BRCA2_10_20	220	181.0
BRCA2_10_21	289	238.0
BRCA2_10_22	485	399.0
BRCA2_10_23	409	336.0
BRCA2_10_24	398	327.0
BRCA2_10_25	303	249.0
BRCA2_10_26	234	192.0
BRCA2_10_27	429	353.0
BRCA2_10_28	318	262.0
BRCA2_10_29	233	192.0
BRCA2_10_30	357	294.0
BRCA2_10_31	373	307.0
BRCA2_10_32	337	277.0
BRCA2_10_33	311	256.0
BRCA2_10_34	346	285.0
BRCA2_10_35	340	280.0
BRCA2_10_36	519	427.0
BRCA2_10_37	401	330.0
BRCA2_10_38	470	387.0
BRCA2_10_39	301	248.0
BRCA2_11_01	437	359.0
BRCA2_12_01	507	417.0
BRCA2_13_01	331	272.0
BRCA2_13_02	644	530.0
BRCA2_13_03	430	354.0
BRCA2_13_04	248	204.0
BRCA2_14_01	545	448.0
BRCA2_14_02	354	291.0
BRCA2_15_01	259	213.0
BRCA2_15_02	428	352.0
BRCA2_16_01	523	430.0
BRCA2_16_02	307	253.0
BRCA2_17_01	405	333.0
BRCA2_17_02	513	422.0
BRCA2_17_03	250	206.0
BRCA2_18_01	469	386.0
BRCA2_18_02	467	384.0
BRCA2_19_01	374	308.0
BRCA2_19_02	773	636.0
BRCA2_20_01	344	283.0
BRCA2_21_01	272	224.0
BRCA2_21_02	678	558.0
BRCA2_22_01	454	373.0
BRCA2_22_02	373	307.0
BRCA2_23_01	276	227.0
BRCA2_23_02	356	293.0
BRCA2_24_01	575	473.0
BRCA2_24_02	357	294.0
BRCA2_25_01	255	210.0
BRCA2_25_02	228	188.0
BRCA2_26_01	395	325.0
BRCA2_26_02	284	234.0
BRCA2_26_03	175	144.0
BRCA2_26_04	423	348.0
BRCA2_26_05	308	253.0
BRCA1_01_01	477	392.0
BRCA1_02_01	309	254.0
BRCA1_03_01	346	285.0
BRCA1_04_01	368	303.0
BRCA1_05_01	493	406.0
BRCA1_06_01	380	313.0
BRCA1_07_01	354	291.0
BRCA1_08_01	435	358.0
BRCA1_09_01	278	229.0
BRCA1_09_02	533	438.0
BRCA1_09_03	302	248.0
BRCA1_10_01	206	169.0
BRCA1_10_02	372	306.0
BRCA1_11_01	252	207.0
BRCA1_12_01	355	292.0
BRCA1_13_01	402	331.0
BRCA1_13_02	327	269.0
BRCA1_14_01	452	372.0
BRCA1_15_01	351	289.0
BRCA1_15_02	274	225.0
BRCA1_15_03	463	381.0
BRCA1_15_04	283	233.0
BRCA1_15_05	286	235.0
BRCA1_15_06	268	220.0
BRCA1_15_07	235	193.0
BRCA1_15_08	348	286.0
BRCA1_15_09	337	277.0
BRCA1_15_10	460	378.0
BRCA1_15_11	264	217.0
BRCA1_15_12	294	242.0
BRCA1_15_13	250	206.0
BRCA1_15_14	258	212.0
BRCA1_15_15	286	235.0
BRCA1_15_16	318	262.0
BRCA1_15_17	426	350.0
BRCA1_15_18	199	164.0
BRCA1_15_19	406	334.0
BRCA1_15_20	318	262.0
BRCA1_15_21	222	183.0
BRCA1_15_22	282	232.0
BRCA1_15_23	270	222.0
BRCA1_15_24	359	295.0
BRCA1_15_25	262	216.0
BRCA1_15_26	415	341.0
BRCA1_16_01	287	236.0
BRCA1_17_01	394	324.0
BRCA1_18_01	347	285.0
BRCA1_19_01	447	368.0
BRCA1_20_01	333	274.0
BRCA1_21_01	295	243.0
BRCA1_22_01	474	390.0
BRCA1_23_01	470	387.0
BRCA1_24_01	240	197.0
BRCA1_25_01	391	322.0
BRCA1_26_01	326	268.0
BRCA1_27_01	428	352.0
BRCA1_27_02	330	271.0
