amplicon_name	raw_count	300x_count
BRCA2_01_01	423	409.0
BRCA2_02_01	278	269.0
BRCA2_02_02	311	301.0
BRCA2_03_01	296	286.0
BRCA2_03_02	463	448.0
BRCA2_04_01	411	397.0
BRCA2_05_01	335	324.0
BRCA2_06_01	292	282.0
BRCA2_07_01	383	370.0
BRCA2_08_01	477	461.0
BRCA2_09_01	250	242.0
BRCA2_09_02	263	254.0
BRCA2_09_03	350	338.0
BRCA2_09_04	251	243.0
BRCA2_09_05	289	279.0
BRCA2_09_06	221	214.0
BRCA2_09_07	306	296.0
BRCA2_09_08	290	280.0
BRCA2_09_09	364	352.0
BRCA2_09_10	270	261.0
BRCA2_10_01	237	229.0
BRCA2_10_02	205	198.0
BRCA2_10_03	341	330.0
BRCA2_10_04	381	368.0
BRCA2_10_05	294	284.0
BRCA2_10_06	263	254.0
BRCA2_10_07	284	274.0
BRCA2_10_08	322	311.0
BRCA2_10_09	274	265.0
BRCA2_10_10	411	397.0
BRCA2_10_11	203	196.0
BRCA2_10_12	358	346.0
BRCA2_10_13	396	383.0
BRCA2_10_14	237	229.0
BRCA2_10_15	444	429.0
BRCA2_10_16	391	378.0
BRCA2_10_17	305	295.0
BRCA2_10_18	313	303.0
BRCA2_10_19	365	353.0
BRCA2_10_20	191	185.0
BRCA2_10_21	275	266.0
BRCA2_10_22	507	490.0
BRCA2_10_23	336	325.0
BRCA2_10_24	383	370.0
BRCA2_10_25	253	245.0
BRCA2_10_26	189	183.0
BRCA2_10_27	316	305.0
BRCA2_10_28	257	248.0
BRCA2_10_29	167	161.0
BRCA2_10_30	297	287.0
BRCA2_10_31	318	307.0
BRCA2_10_32	278	269.0
BRCA2_10_33	283	274.0
BRCA2_10_34	261	252.0
BRCA2_10_35	313	303.0
BRCA2_10_36	472	456.0
BRCA2_10_37	341	330.0
BRCA2_10_38	449	434.0
BRCA2_10_39	256	247.0
BRCA2_11_01	358	346.0
BRCA2_12_01	384	371.0
BRCA2_13_01	247	239.0
BRCA2_13_02	555	536.0
BRCA2_13_03	374	361.0
BRCA2_13_04	183	177.0
BRCA2_14_01	472	456.0
BRCA2_14_02	287	277.0
BRCA2_15_01	144	139.0
BRCA2_15_02	339	328.0
BRCA2_16_01	446	431.0
BRCA2_16_02	226	218.0
BRCA2_17_01	367	355.0
BRCA2_17_02	454	439.0
BRCA2_17_03	223	216.0
BRCA2_18_01	396	383.0
BRCA2_18_02	365	353.0
BRCA2_19_01	294	284.0
BRCA2_19_02	615	594.0
BRCA2_20_01	235	227.0
BRCA2_21_01	217	210.0
BRCA2_21_02	531	513.0
BRCA2_22_01	355	343.0
BRCA2_22_02	310	300.0
BRCA2_23_01	225	217.0
BRCA2_23_02	304	294.0
BRCA2_24_01	522	505.0
BRCA2_24_02	329	318.0
BRCA2_25_01	194	188.0
BRCA2_25_02	235	227.0
BRCA2_26_01	310	300.0
BRCA2_26_02	259	250.0
BRCA2_26_03	140	135.0
BRCA2_26_04	367	355.0
BRCA2_26_05	276	267.0
BRCA1_01_01	475	459.0
BRCA1_02_01	270	261.0
BRCA1_03_01	300	290.0
BRCA1_04_01	402	389.0
BRCA1_05_01	468	452.0
BRCA1_06_01	364	352.0
BRCA1_07_01	325	314.0
BRCA1_08_01	365	353.0
BRCA1_09_01	210	203.0
BRCA1_09_02	472	456.0
BRCA1_09_03	241	233.0
BRCA1_10_01	189	183.0
BRCA1_10_02	359	347.0
BRCA1_11_01	160	155.0
BRCA1_12_01	257	248.0
BRCA1_13_01	422	408.0
BRCA1_13_02	262	253.0
BRCA1_14_01	387	374.0
BRCA1_15_01	287	277.0
BRCA1_15_02	218	211.0
BRCA1_15_03	308	298.0
BRCA1_15_04	210	203.0
BRCA1_15_05	231	223.0
BRCA1_15_06	176	170.0
BRCA1_15_07	177	171.0
BRCA1_15_08	323	312.0
BRCA1_15_09	196	189.0
BRCA1_15_10	389	376.0
BRCA1_15_11	267	258.0
BRCA1_15_12	310	300.0
BRCA1_15_13	242	234.0
BRCA1_15_14	172	166.0
BRCA1_15_15	250	242.0
BRCA1_15_16	263	254.0
BRCA1_15_17	297	287.0
BRCA1_15_18	152	147.0
BRCA1_15_19	270	261.0
BRCA1_15_20	327	316.0
BRCA1_15_21	210	203.0
BRCA1_15_22	256	247.0
BRCA1_15_23	255	246.0
BRCA1_15_24	361	349.0
BRCA1_15_25	252	244.0
BRCA1_15_26	318	307.0
BRCA1_16_01	231	223.0
BRCA1_17_01	328	317.0
BRCA1_18_01	312	302.0
BRCA1_19_01	362	350.0
BRCA1_20_01	271	262.0
BRCA1_21_01	261	252.0
BRCA1_22_01	449	434.0
BRCA1_23_01	391	378.0
BRCA1_24_01	186	180.0
BRCA1_25_01	343	332.0
BRCA1_26_01	223	216.0
BRCA1_27_01	367	355.0
BRCA1_27_02	272	263.0
