amplicon_name	raw_count	300x_count
BRCA2_01_01	79	131.0
BRCA2_02_01	85	141.0
BRCA2_03_01	244	405.0
BRCA2_04_01	148	246.0
BRCA2_04_02	279	464.0
BRCA2_05_01	179	297.0
BRCA2_06_01	194	322.0
BRCA2_06_02	351	583.0
BRCA2_07_01	273	454.0
BRCA2_08_01	224	372.0
BRCA2_09_01	149	248.0
BRCA2_10_01	195	324.0
BRCA2_11_01	204	339.0
BRCA2_12_01	127	211.0
BRCA2_12_02	192	319.0
BRCA2_12_03	132	219.0
BRCA2_12_04	199	331.0
BRCA2_12_05	188	312.0
BRCA2_12_06	204	339.0
BRCA2_12_07	181	301.0
BRCA2_12_08	140	233.0
BRCA2_12_09	239	397.0
BRCA2_12_10	267	444.0
BRCA2_13_01	134	223.0
BRCA2_13_02	110	183.0
BRCA2_13_03	187	311.0
BRCA2_13_04	197	327.0
BRCA2_13_05	209	347.0
BRCA2_13_06	170	282.0
BRCA2_13_07	168	279.0
BRCA2_13_08	215	357.0
BRCA2_13_09	197	327.0
BRCA2_13_10	250	415.0
BRCA2_13_11	141	234.0
BRCA2_13_12	221	367.0
BRCA2_13_13	103	171.0
BRCA2_13_14	115	191.0
BRCA2_13_15	218	362.0
BRCA2_13_16	366	608.0
BRCA2_13_17	215	357.0
BRCA2_13_18	207	344.0
BRCA2_13_19	172	286.0
BRCA2_13_20	133	221.0
BRCA2_13_21	133	221.0
BRCA2_13_22	227	377.0
BRCA2_13_23	187	311.0
BRCA2_13_24	249	414.0
BRCA2_13_25	120	199.0
BRCA2_13_26	96	160.0
BRCA2_13_27	215	357.0
BRCA2_13_28	224	372.0
BRCA2_13_29	93	155.0
BRCA2_13_30	163	271.0
BRCA2_13_31	203	337.0
BRCA2_13_32	155	258.0
BRCA2_13_33	179	297.0
BRCA2_13_34	178	296.0
BRCA2_13_35	211	351.0
BRCA2_13_36	190	316.0
BRCA2_13_37	126	209.0
BRCA2_13_38	199	331.0
BRCA2_13_39	148	246.0
BRCA2_14_01	253	420.0
BRCA2_15_01	214	356.0
BRCA2_16_01	233	387.0
BRCA2_17_01	256	425.0
BRCA2_17_02	361	600.0
BRCA2_17_03	154	256.0
BRCA2_17_04	115	191.0
BRCA2_18_01	202	336.0
BRCA2_18_02	135	224.0
BRCA2_19_01	93	155.0
BRCA2_19_02	172	286.0
BRCA2_20_01	246	409.0
BRCA2_20_02	129	214.0
BRCA2_21_01	167	278.0
BRCA2_21_02	236	392.0
BRCA2_21_03	149	248.0
BRCA2_22_01	254	422.0
BRCA2_22_02	219	364.0
BRCA2_23_01	189	314.0
BRCA2_23_02	255	424.0
BRCA2_24_01	153	254.0
BRCA2_25_01	135	224.0
BRCA2_25_02	235	391.0
BRCA2_26_01	169	281.0
BRCA2_26_02	196	326.0
BRCA2_27_01	121	201.0
BRCA2_27_02	156	259.0
BRCA2_28_01	142	236.0
BRCA2_29_01	222	369.0
BRCA2_29_02	122	203.0
BRCA2_30_01	88	146.0
BRCA2_30_02	121	201.0
BRCA2_31_01	168	279.0
BRCA2_31_02	149	248.0
BRCA2_31_03	106	176.0
BRCA2_31_04	230	382.0
BRCA2_31_05	158	263.0
BRCA2_32_01	434	721.0
BRCA2_33_01	218	362.0
BRCA1_01_01	212	352.0
BRCA1_02_01	182	302.0
BRCA1_03_01	161	268.0
BRCA1_04_01	216	359.0
BRCA1_05_01	243	404.0
BRCA1_06_01	169	281.0
BRCA1_07_01	167	278.0
BRCA1_08_01	177	294.0
BRCA1_09_01	203	337.0
BRCA1_09_02	203	337.0
BRCA1_09_03	145	241.0
BRCA1_10_01	110	183.0
BRCA1_10_02	129	214.0
BRCA1_11_01	104	173.0
BRCA1_12_01	159	264.0
BRCA1_13_01	290	482.0
BRCA1_14_01	231	384.0
BRCA1_14_02	161	268.0
BRCA1_15_01	155	258.0
BRCA1_16_01	211	351.0
BRCA1_16_02	199	331.0
BRCA1_16_03	211	351.0
BRCA1_16_04	160	266.0
BRCA1_16_05	148	246.0
BRCA1_16_06	121	201.0
BRCA1_16_07	72	120.0
BRCA1_16_08	167	278.0
BRCA1_16_09	95	158.0
BRCA1_16_10	174	289.0
BRCA1_16_11	116	193.0
BRCA1_16_12	112	186.0
BRCA1_16_13	89	148.0
BRCA1_16_14	160	266.0
BRCA1_16_15	98	163.0
BRCA1_16_16	124	206.0
BRCA1_16_17	174	289.0
BRCA1_16_18	98	163.0
BRCA1_16_19	146	243.0
BRCA1_16_20	164	273.0
BRCA1_16_21	158	263.0
BRCA1_16_22	244	405.0
BRCA1_16_23	165	274.0
BRCA1_16_24	133	221.0
BRCA1_16_25	167	278.0
BRCA1_16_26	257	427.0
BRCA1_17_01	184	306.0
BRCA1_18_01	214	356.0
BRCA1_19_01	193	321.0
BRCA1_20_01	246	409.0
BRCA1_21_01	181	301.0
BRCA1_22_01	190	316.0
BRCA1_23_01	251	417.0
BRCA1_24_01	206	342.0
BRCA1_25_01	132	219.0
BRCA1_26_01	133	221.0
BRCA1_27_01	103	171.0
BRCA1_28_01	164	273.0
BRCA1_28_02	175	291.0
BRCA1_29_01	281	467.0
